gene,padj
ENSMUSG00000029866.13,6.792233698551304e-186
ENSMUSG00000004730.14,3.8366677455445446e-185
ENSMUSG00000019820.9,5.6742002736304386e-185
ENSMUSG00000101609.1,6.808384481500527e-185
ENSMUSG00000033721.16,7.444968393305581e-185
ENSMUSG00000021423.5,1.527966619609372e-184
ENSMUSG00000029761.16,1.9949755997503737e-184
ENSMUSG00000043940.15,4.598895981048998e-184
ENSMUSG00000052305.6,7.306097281004423e-184
ENSMUSG00000041112.15,1.2718730490660084e-180
ENSMUSG00000063873.10,1.4895608932032853e-180
ENSMUSG00000029635.15,1.4522936347202886e-179
ENSMUSG00000019820.9,1.2546070753025566e-178
ENSMUSG00000023026.15,3.3681908581531496e-178
ENSMUSG00000004730.14,1.6878909732369092e-177
ENSMUSG00000058152.7,1.12744649497292e-176
ENSMUSG00000058152.7,2.1869441705330912e-175
ENSMUSG00000075415.13,8.948177619494642e-175
ENSMUSG00000031974.8,4.814928802204649e-174
ENSMUSG00000025217.14,1.340815955353244e-173
ENSMUSG00000024456.16,5.898300690788525e-173
ENSMUSG00000042228.14,1.033409316965965e-172
ENSMUSG00000037940.17,2.1223548449093573e-172
ENSMUSG00000106106.2,3.022462764873191e-172
ENSMUSG00000040274.11,4.367824834614903e-172
ENSMUSG00000029673.17,1.1264698404473068e-171
ENSMUSG00000030465.19,6.433665721532313e-169
ENSMUSG00000029761.16,9.950546615664284e-169
ENSMUSG00000026748.13,2.208614762991616e-168
ENSMUSG00000064367.1,5.131119524478761e-168
ENSMUSG00000022378.13,6.200023075778674e-168
ENSMUSG00000021991.8,1.5249845319166423e-167
ENSMUSG00000039585.15,4.114910272694855e-166
ENSMUSG00000031004.8,3.0520103023364453e-165
ENSMUSG00000022377.16,8.110926080255755e-164
ENSMUSG00000021676.9,2.3368176032690945e-163
ENSMUSG00000035392.17,2.931292706367504e-163
ENSMUSG00000027035.10,6.366898456807495e-163
ENSMUSG00000026748.13,6.529677810722359e-163
ENSMUSG00000064373.11,1.184364042941065e-162
ENSMUSG00000004508.6,2.0485679702754663e-162
ENSMUSG00000006574.15,2.73516388478277e-162
ENSMUSG00000031453.16,3.553129393206511e-162
ENSMUSG00000039197.9,5.658736988299572e-162
ENSMUSG00000054641.10,3.6159716434662876e-161
ENSMUSG00000037940.17,4.671899581581452e-160
ENSMUSG00000041997.16,4.769538466724966e-160
ENSMUSG00000092341.2,1.1544169333503258e-159
ENSMUSG00000042225.3,1.3753718345534514e-159
ENSMUSG00000021322.7,1.6034275599623814e-159
ENSMUSG00000071713.4,2.3994077705949836e-158
ENSMUSG00000020176.17,5.494903187237357e-158
ENSMUSG00000064373.11,7.37688746156416e-158
ENSMUSG00000039145.16,1.2753858426923806e-157
ENSMUSG00000049744.15,2.8732577958733133e-155
ENSMUSG00000023026.15,3.7300636293834304e-154
ENSMUSG00000031129.9,3.818415271286198e-154
ENSMUSG00000021322.7,8.177263127146533e-154
ENSMUSG00000032656.14,3.2597168954851867e-153
ENSMUSG00000029925.13,3.309062539083345e-153
ENSMUSG00000022377.16,8.7486464931282e-153
ENSMUSG00000001542.6,9.851028259276592e-151
ENSMUSG00000029761.16,2.318581135005135e-150
